id,katakana,english
959,"ハンドシェイク","handshake"
960,"ハンドヘルド","hand held"
961,"ハンドラ","handler"
962,"ハンドリング","handling"
963,"バンドル","handle"
964,"ピア","peer"
965,"ピアツーピア","peer-to-peer"
966,"ヒアリング","hearing"
967,"ビーコン","beacon"
968,"ヒートシンク","heat sink"
969,"ヒープ","heap"
970,"ヒープソート","heap sort"
971,"ビープ","beep"
972,"ピクセル","pixel"
973,"ビジネスアプリケーション","business application"
974,"ビジネスロジック","business logic"
975,"ビジュアル","visual"
976,"ビジョン","vision"
977,"ヒストグラム","histogram"
978,"ビッグエンディアン","big endian"
979,"ビット","bit"
980,"ビットストリーム","bit stream"
981,"ヒット","hit"
982,"ビットマップ","bitmap"
983,"ビットレート","bit rate"
984,"ビデオ","video"
985,"ビデオオンデマンド","video on demand"
986,"ビデオカード","video card"
987,"ビデオ システム","video system"
988,"ビヘイビア","behavior"
989,"ビューアー","viewer"
990,"ビューポート","viewport"
991,"ヒューリスティック","heuristic"
992,"ビューワ","viewer"
993,"ピリオド","period"
994,"ビルト","build"
995,"ビルド","build"
996,"ファースト","first"
997,"ファームウェア","firmware"
998,"ファームウエア","firmware"
999,"ファイアーウォール","firewall"
1000,"ファイアウォール","firewall"
1001,"ファイバチャネル","fiber channel"
1002,"ファイラ","filer"
1003,"ファイリング","filing"
1004,"ファイル","file"
1005,"ファイルアクセス","file access"
1006,"ファイルサーバ","file server"
1007,"ファイルサーバー","file server"
1008,"ファイルサイズ","file size"
1009,"ファイルシステム","file system"
1010,"ファイルハンドル","file handle"
1011,"ファイルフォーマット","file format"
1012,"ファイルマネージャ","file manager"
1013,"ファイル プロトコル","file protocol"
1014,"ファインダ","finder"
1015,"ファインダー","finder"
1016,"ファクタ","factor"
1017,"ファクトリ","factory"
1018,"ファシリティ","facility"
1019,"ファミコン","family computer"
1020,"ファミリーコンピュータ","family computer"
1021,"ファンクション","function"
1022,"ファンクションキー","function key"
1023,"フィート","foot"
1024,"フィード","feed"
1025,"フィードバック","feedback"
1026,"フィールディング","fielding"
1027,"フィールド","field"
1028,"フィックス","fix"
1029,"フィボナッチ","fibonacci"
1030,"フィル","fill"
1031,"フィルタ","filter"
1032,"フィンガー","finger"
1033,"ブート","boot"
1034,"ブートセクタ","boot sector"
1035,"ブートディスク","boot disk"
1036,"ブートレコード","boot recode"
1037,"プール","pool"
1038,"フェーズ","phase"
1039,"フェール","fail"
1040,"フェッチ","fetch"
1041,"フォーカス","focus"
1042,"フォーマット","format"
1043,"フォーム","form"
1044,"フォームファクタ","form factor"
1045,"フォーラム","forum"
1046,"フォールトトレラント","fault-tolerant"
1047,"フォールバック","fallback"
1048,"フォトレタッチ","photo retouching"
1049,"フォトレタッチソフト","photo retouching software"
1050,"フォローアップ","follow up"
1051,"フォワード","forward"
1052,"フォント","font"
1053,"フォントサイズ","font size"
1054,"フォントファイル","font file"
1055,"ブックマークレット","book marklet"
1056,"プッシュ","push"
1057,"フッター","footer"
1058,"プット","put"
1059,"プライオリティ","priority"
1060,"プライバシー","privacy"
1061,"プライベート","private"
1062,"プライベートアドレス","private address"
1063,"ブラウザ","browser"
1064,"ブラウザー","browser"
1065,"ブラウザクラッシャー","browser crusher"
1066,"プラグ","plug"
1067,"プラグアンドプレイ","plug and play"
1068,"プラグイン","plugin"
1069,"フラグメンテーション","fragmentation"
1070,"ブラケット","bracket"
1071,"プラスアルファ","plus alpha"
1072,"プラズマ","plasma"
1073,"ブラックボックス","black box"
1074,"ブラックリスト","black list"
1075,"フラッシュ","flash"
1076,"フラットケーブル","flat cable"
1077,"プラットフォーム","platform"
1078,"プラットホーム","platform"
1079,"ブランク","blank"
1080,"ブランチ","brunch"
1081,"プランニング","planning"
1082,"フリーウェア","freeware"
1083,"フリーソフトウェア","free software"
1084,"プリインストール","preinstall"
1085,"ブリッジ","bridge"
1086,"プリフェッチ","prefetch"
1087,"プリプロセッサー","preprocessor"
1088,"プリペイドカード","prepaid card"
1089,"プリンタ","printer"
1090,"プリントサーバー","print server"
1091,"フルサイズ","full size"
1092,"フルスクリーン","full screen"
1093,"プルダウンメニュー","pull down menu"
1094,"フルバージョン","full version"
1095,"フルバックアップ","full backup"
1096,"プレイヤー","player"
1097,"プレインストール","preinstall"
1098,"ブレークポイント","break point"
1099,"ブレードサーバ","blade server"
1100,"フレーミング","framing"
1101,"フレーム","frame"
1102,"フレームバッファ","frame buffer"
1103,"フレームレート","frame rate"
1104,"プレーヤー","player"
1105,"プレーンテキスト","plain text"
1106,"プレゼン","presentation"
1107,"プレゼンス","presence"
1108,"プレゼンテーション","presentation"
1109,"プレゼンテーションソフト","presentation software"
1110,"プレビュー","preview"
1111,"プレフィックス","prefix"
1112,"フロー","flow"
1113,"ブローカー","broker"
1114,"フローチャート","flowchart"
1115,"フローティング","floating"
1116,"ブロードキャスト","broadcast"
1117,"ブロードバンド","broadband"
1118,"ブロードバンドルータ","broadband router"
1119,"プロキシ","proxy"
1120,"プロキシサーバ","proxy server"
1121,"プロキシサーバー","proxy server"
1122,"プログラマ","programmer"
1123,"プログラマー","programmer"
1124,"プログラマブル","programmable"
1125,"プログラミング","programming"
1126,"プログラミングシステム","programming system"
1127,"プログラム","program"
1128,"プログラムコード","program code"
1129,"プロシージャ","procedure"
1130,"プロジェクタ","projector"
1131,"プロジェクター","projector"
1132,"プロジェクト","project"
1133,"プロジェクトファイル","project file"
1134,"プロセス","process"
1135,"プロセッサ","processor"
1136,"プロセッシング","processing"
1137,"プロダクト","product"
1138,"ブロッキング","blocking"
1139,"ブロックサイズ","block size"
1140,"プロット","plot"
1141,"フロッピー","floppy"
1142,"フロッピーディスク","floppy disk"
1143,"フロッピーディスクドライブ","floppy disk drive"
1144,"フロッピードライブ","floppy drive"
1145,"フロップス","flops"
1146,"プロトコル","protocol"
1147,"プロトコルスタック","protocol stack"
1148,"プロトタイプ","prototype"
1149,"プロバイダ","provider"
1150,"プロバイダー","provider"
1151,"プロビジョニング","provisioning"
1152,"プロファイル","profile"
1153,"プロフェッショナル","professional"
1154,"プロプライエタリ","proprietary"
1155,"プロモーション","promotion"
1156,"フロントエンド","frontend"
1157,"プロンプト","prompt"
1158,"ペイ","pay"
1159,"ペイン","pain"
1160,"ペインティング","painting"
1161,"ペイントソフト","painting software"
1162,"ページ","page"
1163,"ベーシック","basic"
1164,"ページビュー","page view"
1165,"ページレイアウト","page layout"
1166,"ページング","paging"
1167,"ベース","base"
1168,"ペースト","paste"
1169,"ベースバンド","baseband"
1170,"ベータ","beta"
1171,"ベータテスト","beta test"
1172,"ベジェ","bezier"
1173,"ベストプラクティス","best practice"
1174,"ペタバイト","petabyte"
1175,"ヘッダ","header"
1176,"ヘッダーファイル","header file"
1177,"ヘッダファイル","header file"
1178,"ヘッドマウントディスプレイ","head mounted display"
1179,"ペナルティ","penalty"
1180,"ペナルティー","penalty"
1181,"ペネトレーションテスト","penetation test"
1182,"ヘブライ","hebrew"
1183,"ヘルス","health"
1184,"ヘルツ","hertz"
1185,"ヘルパー","helper"
1186,"ヘルプ","help"
1187,"ヘルプデスク","helpdesk"
1188,"ベンダ","vendor"
1189,"ベンチマーク","benchmark"
1190,"ベンチマークテスト","benchmark test"
1191,"ベンチャー","venture"
1192,"ペン","pen"
1193,"ボイスメール","voice mail"
1194,"ポインタ","pointer"
1195,"ポインター","pointer"
1196,"ポインティングデバイス","pointing device"
1197,"ポータブル","portable"
1198,"ポータル","portal"
1199,"ポータルサイト","portal site"
1200,"ボード","board"
1201,"ポート","port"
1202,"ポートフォリオ","portfolio"
1203,"ホームディレクトリ","home directory"
1204,"ポーリング","polling"
1205,"ポスターカラー","poster color"
1206,"ホスティングサービス","hosting service"
1207,"ホスト","host"
1208,"ホストコンピュータ","host computer"
1209,"ホストマシン","host machine"
1210,"ボタン","button"
1211,"ボット","bot"
1212,"ホットキー","hot-key"
1213,"ホットスワップ","hot swap"
1214,"ホットプラグ","hot plugging"
1215,"ポップアップ","pop-up"
1216,"ポップアップウィンドウ","pop-up window"
1217,"ポップアップメニュー","pop-up menu"
1218,"ボトムアップ","bottom-up"
1219,"ボトムアップテスト","bottom-up test"
1220,"ボトルネック","bottle neck"
1221,"ポピュラー","popular"
1222,"ポリシー","policy"
1223,"ボリューム","volume"
1224,"ホワイトカラー","white color"
1225,"ホワイトペーパー","white paper"
1226,"ホワイトボックス","white box"
1227,"ホワイトボックステスト","white box test"
1228,"マーカー","marker"
1229,"マーク","mark"
1230,"マークアップ","mark up language"
1231,"マージ","merge"
1232,"マージン","margin"
1233,"マイクロ","micro"
1234,"マイクロアーキテクチャ","micro"
1235,"マイクロカーネル","micro"
1236,"マイクロコード","micro code"
1237,"マイクロソフト","microsoft"
1238,"マイクロプロセッサ","microprocessor"
1239,"マイコン","microcomputer"
1240,"マイドキュメント","my document"
1241,"マイナーバージョンアップ","minor version up"
1242,"マイニング","mining"
1243,"マウス","mouse"
1244,"マウスカーソル","mouse cursor"
1245,"マウスクリック","mouse click"
1246,"マウスドライバ","mouse driver"
1247,"マウスポインタ","mouse pointer"
1248,"マウスボタン","mouse button"
1249,"マウント","mount"
1250,"マクロ","macro"
1251,"マザーボード","motherboard"
1252,"マシン","machine"
1253,"マスタ","master"
1254,"マスターデータ","master data"
1255,"マッチング","matching"
1256,"マッピング","mapping"
1257,"マップ","map"
1258,"マトリクス","matrix"
1259,"マトリックス","matrix"
1260,"マニュアル","manual"
1261,"マネージャ","manager"
1262,"マネジメント","management"
1263,"マルウェア","malware"
1264,"マルチ","multi"
1265,"マルチウィンドウ","multi window"
1266,"マルチコア","multi core"
1267,"マルチスレッド","multi thread"
1268,"マルチタスキング","multi tasking"
1269,"マルチタスク","multi task"
1270,"マルチタッチ","multi touch"
1271,"マルチディスプレイ","multi display"
1272,"マルチプラットフォーム","multi platform"
1273,"マルチプル","multiple"
1274,"マルチプロセッサ","multi processor"
1275,"マルチメディア","multi media"
1276,"マルチユーザー","multi user"
1277,"ミクロ","micro"
1278,"ミッションクリティカル","mission critical"
1279,"ミッドレンジ","midrange"
1280,"ミドルウェア","middleware"
1281,"ミニゲーム","mini games"
1282,"ミニコン","minicomputer"
1283,"ミニコンピュータ","minicomputer"
1284,"ミリ","milli"
1285,"メインフレーム","mainframe"
1286,"メインボード","mainboard"
1287,"メインメニュー","main menu"
1288,"メインメモリ","main memory"
1289,"メインメモリー","main memory"
1290,"メインループ","main loop"
1291,"メーカ","maker"
1292,"メーター","meter"
1293,"メーラー","mailer"
1294,"メール","mail"
1295,"メールアドレス","mail address"
1296,"メールクライアント","mail client"
1297,"メールサーバ","mail server"
1298,"メールサーバー","mail server"
1299,"メールソフト","mail software"
1300,"メールボックス","mail box"
1301,"メールマガジン","mail magazine"
1302,"メカニカル","mechanical"
1303,"メカニズム","mechanism"
1304,"メガバイト","mega byte"
1305,"メジャーバージョンアップ","major version up"
1306,"メソッド","method"
1307,"メタキャラクタ","meta character"
1308,"メタタグ","meta tag"
1309,"メタデータ","meta data"
1310,"メタ","meta"
1311,"メッセージ","message"
1312,"メッセージキュー","message queue"
1313,"メッセージボックス","message box"
1314,"メッセージング","messaging"
1315,"メッセージングサービス","messaging service"
1316,"メディア","media"
1317,"メディアファイル","media file"
1318,"メディアプレーヤー","media player"
1319,"メトリクス","metrics"
1320,"メニュー","menu"
1321,"メニューアイテム","menu item"
1322,"メモ","memo"
1323,"メモリ","memory"
1324,"メモリアドレス","memory address"
1325,"メモリー","memory"
1326,"メモリーカード","memory card"
1327,"メモリチップ","memory tip"
1328,"メモリモジュール","memory module"
1329,"メモリリーク","memory leak"
1330,"メリット","merit"
1331,"メンテナンス","maintenance"
1332,"メンバ","member"
1333,"モーション","motion"
1334,"モーションキャプチャ","motion capture"
1335,"モータ","motor"
1336,"モード","mode"
1337,"モールス","morse"
1338,"モジュール","module"
1339,"モックアップ","mock-up"
1340,"モデム","modem"
1341,"モデリング","modeling"
1342,"モデルケース","model case"
1343,"モデル","model"
1344,"モニタ","monitor"
1345,"モニタリング","monitoring"
1346,"モノクロ","monochrome"
1347,"モノラル","monaural"
1348,"モノリシック","monolithic"
1349,"モバイル","mobile"
1350,"モバイルコンピューティング","mobile computing"
1351,"モンテカルロ","monte carlo"
1352,"ユーザ","user"
1353,"ユーザー","user"
1354,"ユーザーアカウント","user account"
1355,"ユーザーインターフェイス","user interface"
1356,"ユーザーインターフェース","user interface"
1357,"ユーザーインタフェース","user interface"
1358,"ユーザアカウント","user account"
1359,"ユーザーサポート","user support"
1360,"ユーザインターフェース","user interface"
1361,"ユーザインタフェース","user interface"
1362,"ユーザデータ","user data"
1363,"ユーザビリティ","usability"
1364,"ユースケース","use case"
1365,"ユーティリティ","utility"
1366,"ユーティリティー","utility"
1367,"ユニーク","unique"
1368,"ユニコード","unicode"
1369,"ユニックス","unix"
1370,"ユニバーサル","universal"
1371,"ユニファイ","unify"
1372,"ユビキタス","ubiquitous"
1373,"ライセンス","license"
1374,"ライセンスフリー","license free"
1375,"ライタ","writer"
1376,"ライフサイクル","life cycle"
1377,"ライブラリ","library"
1378,"ライブラリー","library"
1379,"ライブラリディレクトリ","library directory"
1380,"ライブラリファイル","library files"
1381,"ラインアウト","line-out"
1382,"ラインモード","line mode"
1383,"ラジオボタン","radio button"
1384,"ラックマウント","rack mount"
1385,"ラベル","label"
1386,"ランタイム","runtime"
1387,"ランダム","random"
1388,"ランダムアクセス","random access"
1389,"ランダムサンプリング","random sampling"
1390,"リアルタイム","real time"
1391,"リーク","leak"
1392,"リージョン","region"
1393,"リーダ","reader"
1394,"リーチ","reach"
1395,"リード","lead"
1396,"リードオンリー","read only"
1397,"リードタイム","read time"
1398,"リカバリ","recovery"
1399,"リクエスト","request"
1400,"リクルート","recruit"
1401,"リサーチ","research"
1402,"リジェクト","reject"
1403,"リスタート","restart"
1404,"リスト","list"
1405,"リストアップ","list up"
1406,"リスナー","listener"
1407,"リセット","reset"
1408,"リセットスイッチ","reset switch"
1409,"リソース","resource"
1410,"リソースファイル","resource file"
1411,"リターン","return"
1412,"リターンキー","return key"
1413,"リダクション","reduction"
1414,"リチウムイオン","lithium ion"
1415,"リッピング","ripping"
1416,"リテラル","literal"
1417,"リナックス","linux"
1418,"リニア","linear"
1419,"リバースエンジニアリング","reverse engineering"
1420,"リファレンス","reference"
1421,"リブート","reboot"
1422,"リフレッシュ","refresh"
1423,"リフレッシュレート","refresh rate"
1424,"リムーバブル","removable"
1425,"リムーバブルディスク","removable disk"
1426,"リムーバブルメディア","removable medium"
1427,"リモート","remote"
1428,"リモートアクセス","remote access"
1429,"リモートコントロール","remote control"
1430,"リモートホスト","remote host"
1431,"リモートログイン","remote login"
1432,"リライト","rewrite"
1433,"リリース","release"
1434,"リリースノート","release notes"
1435,"リレーショナル","relational"
1436,"リレーショナルデータベース","relational database"
1437,"リレーション","relations"
1438,"リロードボタン","reload button"
1439,"リンカー","linker"
1440,"リンク","link"
1441,"ルーツ","roots"
1442,"ルーティング","routing"
1443,"ルーティングテーブル","routing table"
1444,"ルート","root"
1445,"ルートディレクトリ","root directory"
1446,"ループ","loop"
1447,"ルール","rule"
1448,"ルック＆フィール","look and feel"
1449,"ルックアップ","look up"
1450,"ルビ","ruby"
1451,"レイアウト","layout"
1452,"レイオフ","layoff"
1453,"レイヤ","layer"
1454,"レーザー","laser"
1455,"レガシー","legacy"
1456,"レガシーシステム","legacy system"
1457,"レコード","record"
1458,"レジスタ","register"
1459,"レジスター","register"
1460,"レジストリ","registry"
1461,"レジストリエディタ","registry editor"
1462,"レジューム","resume"
1463,"レスポンス","response"
1464,"レスポンスタイム","response time"
1465,"レビュー","review"
1466,"レプリケーション","replication"
1467,"レポジトリ","repository"
1468,"レンダリング","rendering"
1469,"ロイヤリティ","royalty"
1470,"ローエンド","low-end"
1471,"ローカリゼーション","localization"
1472,"ローカル","local"
1473,"ローカルエリアネットワーク","local area network"
1474,"ローカルディスク","local disk"
1475,"ローダ","loader"
1476,"ローダー","loader"
1477,"ローディング","loading"
1478,"ロード","load"
1479,"ロードバランサ","load balancer"
1480,"ロードバランシング","load balancing"
1481,"ローマ","rome"
1482,"ロールアウト","rollout"
1483,"ロールバック","rollback"
1484,"ローレベル","low level"
1485,"ロガー","logger"
1486,"ロギング","logging"
1487,"ログ","log"
1488,"ログアウト","logout"
1489,"ログイン","login"
1490,"ログオフ","log off"
1491,"ログオン","log on"
1492,"ログファイル","log file"
1493,"ロケーション","location"
1494,"ロゴ","logo"
1495,"ロジック","logic"
1496,"ロック","lock"
1497,"ロボット","robot"
1498,"ロボット　エンジン","robot engine"
1499,"ワーキング","working"
1500,"ワーキンググループ","working group"
1501,"ワーク","work"
1502,"ワークグループ","workgroup"
1503,"ワークシート","worksheet"
1504,"ワークステーション","workstation"
1505,"ワークスペース","workspace"
1506,"ワークフロー","workflow"
1507,"ワードプロセッサ","word processor"
1508,"ワープロ","word processor"
1509,"ワープロソフト","word-processing software"
1510,"ワールドワイドウェブ","world wide web"
1511,"ワイヤーフレーム","wire frame"
1512,"ワクチンソフト","anti-virus software"
1513,"ワンタイムパスワード","one-time password"
1514,"ユーザ","a user"
1515,"ドライブ","drive"
1516,"サイズ","size"
1517,"ソフト","software"
1518,"フォルダ","folder"
1519,"ケーブル","cable"
1520,"ファイバ","fiber"
1521,"ファイバー","fiber"
1522,"テープ","tape"
1523,"ヘッド","head"
1524,"ソース","source"
1525,"レート","rate"
1526,"メロ","melo"
1527,"ユニット","unit"
1528,"ブック","book"
1529,"マネー","money"
1530,"メール","e-mail"
1531,"メールアドレス","e-mail address"
1532,"データベース","data base"
1533,"セット","set"
